ItemID,Matcode,MaterialDescription,MRP,CaseCount,EAN,SubCategory,Brand,Category,BrandImgURL,ProductImgURL,ProductDiscountPercentage,CategoryImageURL,SubCategoryImageURL,VAT,SupplierBusinessName,LeadTimeForDelivery,10 lacs price,>10 lacs price
82199125,82227814,AMBI AE AIR SPRAY 275GX6 S&R INR270,270,6,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,221.4,205.2
82199017,82227813,AMBI AE AIR SPRAY 275GX6 SC&Z INR270,270,6,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,221.4,205.2
82199012,82227821,AMBI AE AIR SPRAY 275GX6 TDF INR270,270,6,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,221.4,205.2
82217835,82216523,AMBI AE AIRFRSHSPRAY 275GX6NZ VCHR,230,6,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,188.6,174.8
82163367,82220003,AMBIPUR CARVENTCLIP 2MLX6X4 LGHT CTRS IN,210,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,172.2,159.6
82163367,82224971,AMBIPUR CARVENTCLIP 2MLX6X4 LT CTRS STK,210,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,172.2,159.6
82163365,82224970,AMBIPUR CARVENTCLIP 2MLX6X4 NZ SPRG STK,210,24,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,172.2,159.6
82198890,82227848,AMBI CARPREMIUM AQ RF7.5MLX12 INR180,180,12,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,147.6,136.8
82198886,82227855,AMBI CARPREMIUM ATBC RF7.5MLX12 INR180,180,12,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,147.6,136.8
82198894,82227834,AMBI CARPREMIUM LSPA RF7.5MLX12 INR180,180,12,4.90E+12,Air Care,Ambipur,Household,/appcontent/images/brand/brand-ambipur.jpg,/appcontent/images/brand/brand-ambipur.jpg,23,/appcontent/images/category/households.png,/appcontent/images/category/Households/fragrances.png,14.5,Prestige Pursuits,3-4 days,147.6,136.8
