Item ID,Matcode,Material Description,MRP,CaseCount,EAN,SubCategory,Brand,Category,10 lacs price,>10 lacs price,,,,,,,,,,,,,,,,
82163370,82227825,AMBI CARVENTCLIP 2MLX6X4 THDG FRT INR175,175,24,4902430647878,Air Care,Ambipur,Perfumes & Scents,143.5,133,,,,,,,,,,,,,,,,
82163370,82232491,AMBIPUR CARVENTCLIP 2MLX6X4 IN DG FRT IN,175,24,4902430660341,Air Care,Ambipur,Perfumes & Scents,143.5,133,,,,,,,,,,,,,,,,
82163366,82232487,AMBIPUR CARVENTCLIP 2MLX6X4 LAV CMFT IN,175,24,4902430660297,Air Care,Ambipur,Perfumes & Scents,143.5,133,,,,,,,,,,,,,,,,
82163367,82232490,AMBIPUR CARVENTCLIP 2MLX6X4 LGHT CTRS IN,175,24,4902430660327,Air Care,Ambipur,Perfumes & Scents,143.5,133,,,,,,,,,,,,,,,,
82163365,82232552,AMBIPUR CARVENTCLIP 2MLX6X4 NZ SPRG IN,175,24,4902430660631,Air Care,Ambipur,Perfumes & Scents,143.5,133,,,,,,,,,,,,,,,,
82163364,82232492,AMBIPUR CARVENTCLIP 2MLX6X4 SKY BREZE IN,175,24,4902430660365,Air Care,Ambipur,Perfumes & Scents,143.5,133,,,,,,,,,,,,,,,,
82137307,82220131,AMBIP AEROSOLS B.OCEAN 300MLX24 INR140,140,24,4902430625265,Air Care,Ambipur,Perfumes & Scents,114.8,106.4,,,,,,,,,,,,,,,,
82137309,82220129,AMBIP AEROSOLS LAV BREZ 300MLX24 INR140,140,24,4902430625241,Air Care,Ambipur,Perfumes & Scents,114.8,106.4,,,,,,,,,,,,,,,,
82137308,82220132,AMBIP AEROSOLS PINKFLOWR 300MLX24 INR140,140,24,4902430625272,Air Care,Ambipur,Perfumes & Scents,114.8,106.4,,,,,,,,,,,,,,,,
82208778,82230127,ARIEL LAU PWD 3KGX8 MB D+ PC,499,8,4902430653510,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82222963,82233079,ARIEL LAU PWD 3KGX8 MB D+ PRO PC,499,8,4902430662260,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
0,82236452,ARIEL LAU PWD 2KG X 6 MATIC D+,465,6,4902430672085,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82209596,82230257,ARIEL LAU PWD 2KG X 6 MATIC D+,453,6,4902430653879,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82233077,82233398,ARIEL LAU PWD 2KG X 6 MATIC D+ PRO PC,453,6,4902430662413,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82208781,82232521,ARIEL LAU PWD 2KGX12 2IN1 D+ PC,399,12,4902430660488,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82237469,82237537,ARIEL LAU PWD 2KGX12 MB D+ BKT FREE PC,370,12,4902430674539,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82208777,82236409,ARIEL LAU PWD 2KGX12 MB D+ PC,370,12,4902430671989,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82228404,82228364,ARIEL LAU PWD 2000GX12 OB BKT FREE PC,359,12,4902430649070,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82208785,82230119,ARIEL LAU PWD 2KGX12 C&S D+ PC,359,12,4902430653442,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82208777,82230126,ARIEL LAU PWD 2KGX12 MB D+ PC,359,12,4902430653503,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
0,82236451,ARIEL LAUP WD 1KGX12 MATIC D+,235,12,4902430672078,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
0,82244885,ARIEL LAUP WD 1KGX12 MATIC D+,235,12,4902430672078,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
0,82237538,ARIEL LAUP WD 1KGX12 MATIC D+ CNT FRE PC,235,12,4902430674522,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82209598,82230256,ARIEL LAUP WD 1KGX12 MATIC D+,230,12,4902430653862,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82209598,82232924,ARIEL LAUP WD 1KGX12 MATIC D+,230,12,4902430653862,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82224007,82233397,ARIEL LAUP WD 1KGX12 MATIC D+ PRO PC,230,12,4902430662406,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82224007,82233112,ARIEL LAUP WD 1KGX12 MATIC D+ PRO PC ,230,12,4902430662406,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82226041,82225060,ARIEL MATIC 1KGX12 CONT FREE,230,12,4902430640107,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82208780,82232520,ARIEL LAU PWD 1KGX24 2IN1 D+ PC,205,24,4902430660471,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82208784,82230120,ARIEL LAU PWD 1KGX24 C&S D+ PC,185,24,4902430653459,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82208776,82230122,ARIEL LAU PWD 1KGX24 MB D+ PC,185,24,4902430653466,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82233060,82233078,ARIEL LAU PWD 1KGX24 MB D+ PRO PC,185,24,4902430662253,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82178295,82178411,ARIEL LAUPWD 1000GX24 OXYBLU OLAYPR,165,24,4902430467728,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
0,82236448,ARIEL LAU PWD 500GX48 MATIC D+ PC,120,48,4902430672054,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
82209064,82230165,ARIEL LAU PWD 500GX48 MATIC D+ PC,117,48,4902430653671,Laundry,Ariel,Soaps & Detergetns,,,,,,,,,,,,,,,,,,
