ItemID,Matcode,DisplayTitle,ShortSummary,ProductSizeWeightQty,VariantOfPrevious,MaterialDescription,MRP,CaseCount,EAN,SubCategory,Brand,Category,BrandImgURL,ProductImgURL,ProductDiscountPercentage,CategoryImageURL,SubCategoryImageURL,VAT,SupplierBusinessName,LeadTimeForDelivery,productIsVisible,10 lacs price,>10 lacs price
75019832,75068038,"GILLETTE, SENSOR EXCEL, RAZOR",Sensr Excel Razor 1Up 215 INR,1,,Sensr Excel Razor 1Up 215 INR,215,36,3014260245689,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Sensor_Excel_Razor.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,182.75,167.7
82202886,82203470,"GILLETTE, FEMALE HAIR REMOVAL, VENUS RAZOR",VENUS RAZOR 1UP 199INR 1X6X6,1,,VENUS RAZOR 1UP 199INR 1X6X6,199,36,7702018934744,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Female_Hair_Removal_Venus_Razor.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,169.15,155.22
GilleteMach3Razor1,82231202,"GILLETTE, MACH3, RAZOR",MACH3 LGHT RAZ1UP 180INR 1CSX30IT*1X6X5,1,,MACH3 LGHT RAZ1UP 180INR 1CSX30IT*1X6X5,180,30,4902430657150,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Mach3_Razor.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,153,140.4
82149744,82145587,"GILLETTE, WILKINSON DOUBLE EDGE, BLADES",WILKINSON STNLS 50 150INR 1CSX160IT*50X40X4,50,,WILKINSON STNLS 50 150INR 1CSX160IT*50X40X4,123,160,4902430335119,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Double_Edge_Blades_50s.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,127.5,117
82135386,82230510,"GILLETTE, DOUBLE EDGE, BLADES 10s",WIL STNLS 10 25INR 10X20X40,10,Y,WIL STNLS 10 25INR 10X20X40,27,800,4902430654999,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Double_Edge_Blades_10s.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,21.25,19.5
75064283,82234520,"GILLETTE, VECTOR, CART 6's",VEC CRT 6 PSHBT 115INR 6X50X12,6,,VEC CRT 6 PSHBT 115INR 6X50X12,115,600,4902430666244,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Vector_Cart_6's.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,97.75,89.7
75049177,82234519,"GILLETTE, VECTOR, CART 4's",VEC CRT 4 PSHBT 80INR P 4X50X12,4,,VEC CRT 4 PSHBT 80INR P 4X50X12,80,600,4902430666220,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Vector_Cart_4's.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,68,62.4
75049176,82234518,"GILLETTE, VECTOR, CART 2's",VEC CRT 2 PSHBT 45INR 2X50X12,2,,VEC CRT 2 PSHBT 45INR 2X50X12,45,600,4902430666190,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Vector_Cart_2's.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,38.25,35.1
75019786,82240556,"GILLETTE, DOUBLE EDGE, ST RAZOR",7OCLK PII RAZOR FXD 100 INR 1X12X12,1,,7OCLK PII RAZOR FXD 100 INR 1X12X12,100,144,4902430684385,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Double_Edge_ST_Razor.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,85,78
82149298,82228005,"GILLETTE, DISPOSABLES, (GPI) 5s POUCH",PREST MAX DIS 5 FXD 99INR 5X10X10,5,,PREST MAX DIS 5 FXD 99INR 5X10X10,99,100,4902430648721,Grooming,Gillette,Personal Care,/appcontent/images/brand/brand-gillete.png,/appcontent/images/product/Gillette/Gillette_Disposables_(GPI)_5s_Pouch.jpg,18,/appcontent/images/category/personal-care.png,/appcontent/images/category/Personalcare/grooming.png,14.5,Prestige Pursuits,5-8 working days,Y,84.15,77.22
